signal,anomaly_score,is_anomaly
1.09683,-0.8201642178923078,0
1.10103,-0.8751588130724546,0
1.10681,-0.8283922742909032,0
1.10225,-0.7792498805987943,0
1.10181,-0.7363326583802237,0
1.10178,-0.7350745044613393,0
1.09962,-0.769314410738403,0
1.09642,-0.8096407470145194,0
1.09826,-0.7937012317722323,0
1.09119,-0.6804855428161938,0
1.08491,-0.5499520925007585,0
1.08523,-0.3989914359090603,0
1.08732,-0.37800610803083246,0
1.0865,-0.3063002133901098,0
1.08374,-0.2998418015847005,0
1.07745,-0.27442558405166445,0
1.08058,-0.21284726358408754,0
1.08215,-0.1605602520288496,0
1.081,-0.152411863052867,0
1.07688,-0.1167861985713118,0
1.07552,-0.11646530161178158,0
1.07232,-0.11099893705429568,0
1.07256,-0.16178462476159575,0
1.07212,-0.16530096490201787,0
1.07064,-0.22359011333219805,0
1.07313,-0.3205552178655618,0
1.0693,-0.43184030655870487,0
1.07601,-0.4037427535059403,0
1.07074,-0.3957722393482553,0
1.06965,-0.4330096445811847,0
1.07109,-0.355799795041427,0
1.06981,-0.33487477939259486,0
1.07065,-0.254974428256613,0
1.07814,-0.19614895516253344,0
1.07481999999999,-0.1380297424895227,0
1.07495,-0.08645720372477725,0
1.07618,-0.03976142290091557,0
1.0789,-0.0032750101341674966,0
1.08424,0.004784068954714212,0
1.09444,-0.024587204182812766,0
1.09414,-0.08815907257425987,0
1.09394,-0.13102253771759514,0
1.09231,-0.17549889591283402,0
1.09194,-0.24805923437842273,0
1.09911,-0.31065681904651815,0
1.09551,-0.324054299209207,0
1.0893,-0.31660948969192,0
1.09059,-0.3664409543852648,0
1.09095,-0.35185105993608284,0
1.09571,-0.34998166985565543,0
1.09147,-0.3086227320744107,0
1.0867,-0.3136549897593893,0
1.09105,-0.2940271029676612,0
1.09072,-0.2668095537100051,0
1.09124,-0.2775629785204083,0
1.0882,-0.25393741578171103,0
1.08547,-0.24720578578353244,0
1.08893,-0.22489917706351426,0
1.09685,-0.2300233474128213,0
1.09665,-0.23811789684791113,0
1.10049,-0.19462753882973904,0
1.10132,-0.12984306557981046,0
1.114,-0.08635558701853797,0
1.1223,-0.06959555484453137,0
1.12281,-0.06734644087318974,0
1.12269,-0.05381041220718967,0
1.1237,-0.05003295352551169,0
1.12279,-0.03593608207978004,0
1.12046,-0.014839102767802433,0
1.11341,0.01002709149782238,0
1.11249,0.023549442331994786,0
1.1124,0.03160801637013503,0
1.10625,0.024154877071057998,0
1.10495,-0.0016413801167960477,0
1.10775,-0.053964193190848976,0
1.09777,-0.11056402484723579,0
1.10165,-0.17370095754115492,0
1.10233,-0.19153891318955799,0
1.09962,-0.22981479359168408,0
1.10072,-0.27987471453932655,0
1.0943,-0.3465490141539836,0
1.09506,-0.3856778442465197,0
1.10077,-0.38392145680830486,0
1.1002,-0.40955312105636443,0
1.10022,-0.38970556158325625,0
1.09588,-0.3921369389409302,0
1.09768,-0.3637337280316468,0
1.09812,-0.3436243229682929,0
1.09468,-0.31360186138886886,0
1.09428,-0.2830152138489342,0
1.09073,-0.197670267558481,0
1.09034,-0.18554676441691204,0
1.0874,-0.1826780756815962,0
1.08739,-0.19816558741475557,0
1.08724,-0.16133242766021283,0
1.08744,-0.15180198972600575,0
1.08972,-0.07104175154147516,0
1.0846,-0.02232222777127139,0
1.0865,0.022185225701448454,0
1.07981,0.13258882771001157,0
1.07947,0.11648170564209392,0
1.07965,0.1465359377628937,0
1.08252,0.22366277642930393,0
1.08687,0.2665653985801729,0
1.09291,0.31981633691687,0
1.08419,0.3282507188213985,0
1.07737,0.22391788704804935,0
1.07752,0.25246491662103715,0
1.07908,0.2707227438903609,0
1.07241,0.22595115483931216,0
1.07235,0.2884502610150282,0
1.0697,0.3197652290089338,0
1.07,0.27865147484212677,0
1.07158,0.2871506931190916,0
1.07471,0.3134168115358335,0
1.07527,0.3122064102892497,0
1.07324,0.3074331381392354,0
1.06346,0.30378588525623296,0
1.06603,0.2859602341849469,0
1.06676,0.2698330629407828,0
1.06916,0.25886609070338384,0
1.0681,0.2620002447717225,0
1.06493,0.2582055766821981,0
1.06599,0.2588405728365191,0
1.06455,0.19233337226719602,0
1.06479,0.1561241529214212,0
1.05909,0.12576904964336036,0
1.05687,0.08761446407157916,0
1.05049,0.10809242195334752,0
1.05618,0.09109056511035932,0
1.05735,-0.013720322300088343,0
1.0563,-0.03385916098526534,0
1.04794,-0.1386151066297594,0
1.04682,-0.1703836516315845,0
1.05065,-0.15884501903909648,0
1.05459,-0.14891731823895699,0
1.05856,-0.14091851995556837,0
1.05658,-0.18176416461423672,0
1.05782,-0.2100671321126923,0
1.06038,-0.22945118548038215,0
1.06232,-0.21249227258654158,0
1.05354,-0.22040004760543183,0
1.05076,-0.2619490820001174,0
1.05216,-0.21266793887682586,0
1.05535,-0.0658689114934228,0
1.05724,-0.09071164246242663,0
1.05375,-0.031728832449142666,0
1.05859,0.04299768135627148,0
1.05934,0.16946708332076918,0
1.05891,0.2961509038801744,0
1.06695,0.4750494968627524,0
1.05945,0.5639601288389293,0
1.05659,0.7794417547772154,0
1.05635,0.8750809485487594,0
1.0564,0.9394714032633191,0
1.05617,1.0364833209680164,0
1.06135,1.1290221806804988,0
1.05776,1.2204148957992376,0
1.05858,1.0697842180362374,0
1.06153,1.1347220448486186,0
1.07297,1.437507137144391,0
1.0729,1.2709831254121495,0
1.07171,1.0106908673207837,0
1.06941,0.8405480926723131,0
1.07088,0.6770811902654355,0
1.06666,0.5068069992925256,0
1.06844,0.4969956391773508,0
1.06883,0.372474622816274,0
1.07009,0.22032630115826796,0
1.08774,0.07935286927112971,0
1.08534,-0.021927961414015148,0
1.08524,0.0617073904472542,0
1.09131,0.04742874576553283,0
1.09031,0.09875182679863632,0
1.09439,0.07120541602561425,0
1.09167,0.12050662654440204,0
1.08872,0.04824108553449716,0
1.09035,0.03299793113256118,0
1.09369,0.1503392327091887,0
1.09372,0.293963129347178,0
1.09583,0.45841146565470553,0
1.10035,0.48725206981117564,0
1.09729,0.4825890269441238,0
1.08913,0.45868676790673507,0
1.08818,0.3289840570889985,0
1.08838,0.2075738168816268,0
1.08366,0.07318626482143184,0
1.07929,-0.1536941869787004,0
1.07658,-0.36511850944769464,0
1.07891,-0.3389449297901065,0
1.07601,-0.3795832382527364,0
1.07636,-0.5130347900653095,0
1.07646,-0.6112758466792898,0
1.07975,-0.6354925982977967,0
1.0882,-0.4681714504075816,0
1.09926,-0.4230432994155785,0
1.08945,-0.40855978585546676,0
1.08926,-0.5136835451985073,0
1.09227,-0.5318928089474418,0
1.0979,-0.6957731740464754,0
1.09429,-0.8133320035938967,0
1.10051,-0.8323398506683783,0
1.1013,-0.8861579614426994,0
1.10115,-1.0039581620101952,0
1.10417,-1.1128809213344808,0
1.11077,-0.9806795932417958,0
1.10673,-0.8255801614530929,0
1.10369,-0.8222316699101682,0
1.10306,-0.6830037467813916,0
1.09411,-0.5335358306418422,0
1.09253,-0.541437645971577,0
1.09457,-0.45134477748437196,0
1.0942,-0.3287890739164756,0
1.09394,-0.22010054695394352,0
1.09491,-0.1534421616959915,0
1.09311,-0.1400049885074544,0
1.09735,-0.08053133838542799,0
1.09818,0.09816858050661152,0
1.09499,0.14513865469061807,0
1.09432,0.14365173691648625,0
1.09446,0.17044516214730704,0
1.08777,0.20056924749069216,0
1.08847,0.2651483090974634,0
1.08792,0.38388659523741964,0
1.08968,0.48649413769331196,0
1.08903,0.6506083882894723,0
1.0877,0.6546927079926723,0
1.08567,0.6479148522582432,0
1.08812,0.7280575279713765,0
1.08452,0.7094847409740461,0
1.08544,0.6952174858587615,0
1.08409,0.6821499671157607,0
1.08331,0.5935546174367852,0
1.08424,0.5052932336871285,0
1.08035,0.5292806914697525,0
1.08735,0.6178231632089324,0
1.0787,0.5829237913548581,0
1.07785,0.6369559378654411,0
1.07405,0.5595513472194397,0
1.07558,0.5949861138254479,0
1.0775,0.6557311514022358,0
1.07767,0.6483745780909488,0
1.07851,0.6062458767791405,0
1.07955,0.655000884522502,0
1.0771,0.6588172950890183,0
1.0708,0.6839173319720605,0
1.07311,0.5702671701727762,0
1.07727,0.5690903070566963,0
1.07767,0.4979119337319886,0
1.07812,0.4375912972620903,0
1.07754,0.3603744281515792,0
1.08102,0.38799550822257606,0
1.08198,0.3937452162760602,0
1.08244,0.2909073173121996,0
1.08205,0.21757962195921635,0
1.08177,0.12205556154530811,0
1.08497,-0.0218696818452573,0
1.0841,-0.15898685913155178,0
1.08376,-0.15121676177110516,0
1.08046,-0.21233086610776836,0
1.08389,-0.30553975302065634,0
1.08387,-0.3186142438927231,0
1.08541,-0.44845031116027084,0
1.08554,-0.44899718910005704,0
1.08979,-0.560051922667348,0
1.09498,-0.5575744511542546,0
1.09379,-0.5655250243380303,0
1.09421,-0.39307120636630444,0
1.09302,-0.3884673306765981,0
1.09264,-0.3092483159674888,0
1.09525,-0.2432001207643362,0
1.08821,-0.1284524784829761,0
1.08866,-0.14994773996982075,0
1.08826,0.0707021103528821,0
1.0873,0.23073282518597285,0
1.08616,0.1854738257650416,0
1.09366,0.23710333826555147,0
1.08615,0.2604829682273328,0
1.08082,0.394126108843516,0
1.08069,0.3123610558103765,0
1.08364,0.2561796833014792,0
1.08316,0.466704919031163,0
1.0812,0.43878950045505755,0
1.07903,0.49848311733971384,0
1.07743,0.5727173368997626,0
1.07913,0.5689326232612871,0
1.07364,0.6669313371763356,0
1.07678,0.6739966374108864,0
1.08372,0.6584487103844628,0
