episode,asset,method,mapping,target_far,k,tau,control_far,first_alarm,lead_days,event_alarm_rate,n_event_windows,n_control_windows
COVID,USOIL,hybrid2,arccosh,0.2,1,0.028519,0.1953,2020-04-16,-39.0,0.089,146,128
COVID,USOIL,hybrid2,arccosh,0.2,2,0.026267,0.1953,2020-04-29,-48.0,0.089,146,128
COVID,USOIL,hybrid2,arccosh,0.2,3,0.023946,0.1953,2020-04-15,-38.0,0.1096,146,128
COVID,USOIL,hybrid2,arctan,0.05,1,0.015834,0.0469,2020-04-21,-42.0,0.2329,146,128
COVID,USOIL,hybrid2,arctan,0.05,2,0.014588,0.0469,2020-04-22,-43.0,0.2055,146,128
COVID,USOIL,hybrid2,arctan,0.05,3,0.01433,0.0469,2020-04-23,-44.0,0.2055,146,128
COVID,USOIL,hybrid2,arctan,0.1,1,0.01476,0.0938,2020-04-21,-42.0,0.2329,146,128
COVID,USOIL,hybrid2,arctan,0.1,2,0.013413,0.0938,2020-04-22,-43.0,0.2397,146,128
COVID,USOIL,hybrid2,arctan,0.1,3,0.012573,0.0859,2020-04-23,-44.0,0.2329,146,128
COVID,USOIL,hybrid2,arctan,0.2,1,0.013052,0.1953,2020-04-21,-42.0,0.2877,146,128
COVID,USOIL,hybrid2,arctan,0.2,2,0.011442,0.1875,2020-04-22,-43.0,0.2671,146,128
COVID,USOIL,hybrid2,arctan,0.2,3,0.010555,0.1875,2020-04-22,-43.0,0.2671,146,128
COVID,USOIL,hybrid2,cosine,0.05,1,0.140705,0.0469,2020-04-22,-43.0,0.1918,146,128
COVID,USOIL,hybrid2,cosine,0.05,2,0.130912,0.0469,2020-04-23,-44.0,0.1849,146,128
COVID,USOIL,hybrid2,cosine,0.05,3,0.125501,0.0469,2020-04-24,-45.0,0.1781,146,128
COVID,USOIL,hybrid2,cosine,0.1,1,0.130954,0.0938,2020-04-22,-43.0,0.1918,146,128
COVID,USOIL,hybrid2,cosine,0.1,2,0.112362,0.0938,2020-04-22,-43.0,0.1918,146,128
COVID,USOIL,hybrid2,cosine,0.1,3,0.104798,0.0938,2020-04-23,-44.0,0.1986,146,128
COVID,USOIL,hybrid2,cosine,0.2,1,0.104798,0.1953,2020-04-21,-42.0,0.226,146,128
COVID,USOIL,hybrid2,cosine,0.2,2,0.097849,0.1953,2020-04-22,-43.0,0.2055,146,128
COVID,USOIL,hybrid2,cosine,0.2,3,0.093543,0.1953,2020-03-12,-15.0,0.2123,146,128
COVID,USOIL,hybrid2,exponential,0.05,1,0.463625,0.0469,,,0.0,146,128
COVID,USOIL,hybrid2,exponential,0.05,2,0.434351,0.0469,,,0.0,146,128
COVID,USOIL,hybrid2,exponential,0.05,3,0.414764,0.0469,,,0.0,146,128
COVID,USOIL,hybrid2,exponential,0.1,1,0.399093,0.0938,,,0.0,146,128
COVID,USOIL,hybrid2,exponential,0.1,2,0.37545,0.0938,,,0.0,146,128
COVID,USOIL,hybrid2,exponential,0.1,3,0.36225,0.0938,,,0.0,146,128
COVID,USOIL,hybrid2,exponential,0.2,1,0.31169,0.1953,,,0.0,146,128
COVID,USOIL,hybrid2,exponential,0.2,2,0.247754,0.1953,2020-07-14,-100.0,0.0068,146,128
COVID,USOIL,hybrid2,exponential,0.2,3,0.24314,0.1953,,,0.0,146,128
COVID,USOIL,isolation_forest,exponential,0.05,1,0.649505,0.0469,,,0.0,146,128
COVID,USOIL,isolation_forest,exponential,0.05,2,0.645709,0.0469,,,0.0,146,128
COVID,USOIL,isolation_forest,exponential,0.05,3,0.645709,0.0312,,,0.0,146,128
COVID,USOIL,isolation_forest,exponential,0.1,1,0.630542,0.0938,2020-04-16,-39.0,0.0068,146,128
COVID,USOIL,isolation_forest,exponential,0.1,2,0.623156,0.0938,2020-04-17,-40.0,0.0068,146,128
COVID,USOIL,isolation_forest,exponential,0.1,3,0.616953,0.0859,2020-04-17,-40.0,0.0205,146,128
COVID,USOIL,isolation_forest,exponential,0.2,1,0.589751,0.1953,2020-04-14,-37.0,0.1301,146,128
COVID,USOIL,isolation_forest,exponential,0.2,2,0.584527,0.1953,2020-04-14,-37.0,0.1096,146,128
COVID,USOIL,isolation_forest,exponential,0.2,3,0.577029,0.1953,2020-04-14,-37.0,0.1096,146,128
COVID,USOIL,omnianomaly,exponential,0.05,1,0.39071,0.0469,2020-01-21,21.0,0.226,146,128
COVID,USOIL,omnianomaly,exponential,0.05,2,0.363419,0.0469,2020-02-21,-1.0,0.2123,146,128
COVID,USOIL,omnianomaly,exponential,0.05,3,0.33606,0.0469,2020-02-20,0.0,0.2466,146,128
COVID,USOIL,omnianomaly,exponential,0.1,1,0.365861,0.0938,2020-01-21,21.0,0.2603,146,128
COVID,USOIL,omnianomaly,exponential,0.1,2,0.33606,0.0938,2020-02-19,1.0,0.274,146,128
COVID,USOIL,omnianomaly,exponential,0.1,3,0.321335,0.0938,2020-02-19,1.0,0.2603,146,128
COVID,USOIL,omnianomaly,exponential,0.2,1,0.315565,0.1953,2020-01-21,21.0,0.3288,146,128
COVID,USOIL,omnianomaly,exponential,0.2,2,0.297764,0.1875,2020-01-22,20.0,0.3219,146,128
COVID,USOIL,omnianomaly,exponential,0.2,3,0.250733,0.1953,2020-01-21,21.0,0.5068,146,128
COVID,USOIL,one_class_svm,exponential,0.05,1,2.327851,0.0469,,,0.0,146,128
COVID,USOIL,one_class_svm,exponential,0.05,2,2.207389,0.0391,,,0.0,146,128
COVID,USOIL,one_class_svm,exponential,0.05,3,2.147048,0.0469,,,0.0,146,128
COVID,USOIL,one_class_svm,exponential,0.1,1,1.922604,0.0938,,,0.0,146,128
COVID,USOIL,one_class_svm,exponential,0.1,2,1.618722,0.0938,,,0.0,146,128
COVID,USOIL,one_class_svm,exponential,0.1,3,1.617685,0.0781,,,0.0,146,128
COVID,USOIL,one_class_svm,exponential,0.2,1,0.854223,0.1953,2020-04-14,-37.0,0.0274,146,128
COVID,USOIL,one_class_svm,exponential,0.2,2,0.783113,0.1953,2020-04-15,-38.0,0.0137,146,128
COVID,USOIL,one_class_svm,exponential,0.2,3,0.603856,0.1953,2020-04-14,-37.0,0.0274,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.05,1,0.053686,0.0469,,,0.0,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.05,2,0.051616,0.0469,,,0.0,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.05,3,0.050125,0.0391,,,0.0,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.1,1,0.045238,0.0938,,,0.0,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.1,2,0.042841,0.0938,,,0.0,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.1,3,0.040416,0.0859,,,0.0,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.2,1,0.028519,0.1953,2020-04-16,-39.0,0.089,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.2,2,0.026267,0.1953,2020-04-29,-48.0,0.089,146,128
COVID,USOIL,standalone_fanogan,arccosh,0.2,3,0.023946,0.1953,2020-04-15,-38.0,0.1096,146,128
COVID,USOIL,standalone_fanogan,arctan,0.05,1,0.015834,0.0469,2020-04-21,-42.0,0.2329,146,128
COVID,USOIL,standalone_fanogan,arctan,0.05,2,0.014588,0.0469,2020-04-22,-43.0,0.2055,146,128
COVID,USOIL,standalone_fanogan,arctan,0.05,3,0.01433,0.0469,2020-04-23,-44.0,0.2055,146,128
COVID,USOIL,standalone_fanogan,arctan,0.1,1,0.01476,0.0938,2020-04-21,-42.0,0.2329,146,128
COVID,USOIL,standalone_fanogan,arctan,0.1,2,0.013413,0.0938,2020-04-22,-43.0,0.2397,146,128
COVID,USOIL,standalone_fanogan,arctan,0.1,3,0.012573,0.0859,2020-04-23,-44.0,0.2329,146,128
COVID,USOIL,standalone_fanogan,arctan,0.2,1,0.013052,0.1953,2020-04-21,-42.0,0.2877,146,128
COVID,USOIL,standalone_fanogan,arctan,0.2,2,0.011442,0.1875,2020-04-22,-43.0,0.2671,146,128
COVID,USOIL,standalone_fanogan,arctan,0.2,3,0.010555,0.1875,2020-04-22,-43.0,0.2671,146,128
COVID,USOIL,standalone_fanogan,cosine,0.05,1,0.140705,0.0469,2020-04-22,-43.0,0.1918,146,128
COVID,USOIL,standalone_fanogan,cosine,0.05,2,0.130912,0.0469,2020-04-23,-44.0,0.1849,146,128
COVID,USOIL,standalone_fanogan,cosine,0.05,3,0.125501,0.0469,2020-04-24,-45.0,0.1781,146,128
COVID,USOIL,standalone_fanogan,cosine,0.1,1,0.130954,0.0938,2020-04-22,-43.0,0.1918,146,128
COVID,USOIL,standalone_fanogan,cosine,0.1,2,0.112362,0.0938,2020-04-22,-43.0,0.1918,146,128
COVID,USOIL,standalone_fanogan,cosine,0.1,3,0.104798,0.0938,2020-04-23,-44.0,0.1986,146,128
