target_far,k,episode,asset,hybrid2,standalone_fanogan,standalone_tadgan
0.2,2,Iran 2026,GOLD,,,49.0
0.2,2,Iran 2026,USOIL,18.0,18.0,3.0
0.2,2,Russia-Ukraine,EURUSD,16.0,16.0,27.0
0.2,2,Russia-Ukraine,GOLD,7.0,7.0,
0.2,2,Russia-Ukraine,USOIL,-37.0,-37.0,-17.0
0.2,3,COVID,EURUSD,25.0,25.0,
0.2,3,COVID,GOLD,-8.0,-8.0,
0.2,3,COVID,USOIL,,,52.0
0.2,3,Chinese,EURUSD,-97.0,-97.0,
0.2,3,Chinese,GOLD,-5.0,-5.0,
0.2,3,Iran 2025,EURUSD,17.0,17.0,
0.2,3,Iran 2025,GOLD,17.0,17.0,48.0
0.2,3,Iran 2025,USOIL,-15.0,-15.0,30.0
0.2,3,Iran 2026,GOLD,,,48.0
0.2,3,Iran 2026,USOIL,17.0,17.0,2.0
0.2,3,Russia-Ukraine,EURUSD,15.0,15.0,26.0
0.2,3,Russia-Ukraine,GOLD,6.0,6.0,
0.2,3,Russia-Ukraine,USOIL,-50.0,-50.0,-18.0
