brier,reliability,resolution,uncertainty,base_rate,n,episode,asset,method,mapping,kind
0.13784246575342465,0.014988776044430427,0.1274624918460535,0.25,0.5,146,COVID-19,USOIL,anomaly_transformer,exponential,model
0.31930240195158566,0.09981662724495942,0.030267449445531634,0.25,0.5,146,COVID-19,USOIL,anomaly_transformer,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,USOIL,anomaly_transformer,exponential,constant
0.18438027772565208,0.018605107170613304,0.08303979125896933,0.25,0.5,146,COVID-19,GOLD,anomaly_transformer,exponential,model
0.3417268718333646,0.10146528821056539,0.008741030658838876,0.25,0.5,146,COVID-19,GOLD,anomaly_transformer,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,GOLD,anomaly_transformer,exponential,constant
0.2394931613573407,0.02912797814307236,0.0374365189289012,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,anomaly_transformer,exponential,model
0.33151185941828254,0.08779602985129027,0.007721606648199447,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,anomaly_transformer,exponential,random
0.24982686980609417,0.0,0.0,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,anomaly_transformer,exponential,constant
0.35786498404954026,0.12361542805633298,0.017286366601435094,0.25,0.5,146,COVID-19,USOIL,autoencoder,exponential,model
0.3133913492212423,0.07067687977156588,0.010697977821265489,0.25,0.5,146,COVID-19,USOIL,autoencoder,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,USOIL,autoencoder,exponential,constant
0.19207402889848002,0.03287652412546054,0.09050880626223091,0.25,0.5,146,COVID-19,GOLD,autoencoder,exponential,model
0.3109518671420529,0.07464170833763292,0.014709719504240052,0.25,0.5,146,COVID-19,GOLD,autoencoder,exponential,random
0.25,0.0,0.0,0.25,0.5,146,COVID-19,GOLD,autoencoder,exponential,constant
0.2559405297783934,0.048574827173543285,0.0371898084025854,0.24982686980609414,0.4868421052631579,152,COVID-19,EURUSD,autoencoder,exponential,model
