signal,anomaly_score,is_anomaly
63.502,-0.017289328886996455,0
61.719,-0.015859558090415716,0
61.93,-0.01574557692854927,0
60.558,-0.0008552868308696116,0
62.354,-0.0011175514439821857,0
61.615,-0.0010519046270198338,0
62.022,-0.0057587024485896456,0
61.936,-0.009901496041891444,0
61.813,-0.016282865102792643,0
61.433,-0.022244303418544616,0
61.074,-0.028481651690388486,0
61.44,-0.03190968587425528,0
62.45,-0.03727354004635244,0
63.327,-0.0432284823919625,0
62.82,-0.04236681436613463,0
63.544,-0.03355964374386908,0
63.391,-0.029565037535294467,0
62.77,-0.02942771924451995,0
61.357,-0.027956551145818995,0
58.194,-0.029056565300882166,0
59.034,-0.03824424835505361,0
58.798,-0.037817512768261355,0
59.173,-0.03886497053647028,0
58.96,-0.03248885458491921,0
59.072,-0.029355438052672298,0
55.939,-0.034110369139669014,0
53.384,-0.0377303276013645,0
52.864,-0.042426510939725104,0
53.143,-0.046269605427874255,0
53.137,-0.04746446076332273,0
51.664,-0.05159585637413056,0
53.329,-0.05094574473220555,0
54.192,-0.04732279005312004,0
54.546,-0.038892921716308676,0
53.481,-0.04143806408413366,0
53.019,-0.043225028339445914,0
51.421,-0.04457032842081791,0
52.303,-0.05286872389877445,0
52.735,-0.04881355221965873,0
52.914,-0.048136635990475074,0
52.08,-0.03930583440814227,0
54.402,-0.037036129974144696,0
54.629,-0.03211773542744896,0
57.398,-0.0233475840971386,0
57.589,-0.020809666358898686,0
57.829,-0.019818722372803,0
57.796,-0.021943163358277527,0
58.799,-0.017362164745965157,0
58.968,-0.016055939612330254,0
59.362,-0.013471770755128032,0
58.167,-0.008868533864903688,0
59.51,-0.008983771659045632,0
58.746,-0.007294883892880106,0
56.588,-0.005698041667655145,0
57.44,-0.006526786219217507,0
56.838,-0.006916923573043721,0
57.768,-0.007745947918163032,0
57.7,-0.0064322159014926035,0
57.489,-0.0051318603353517666,0
58.691,-0.004325107841179558,0
60.511,-0.004633092870443426,0
60.467,-0.00368856040218332,0
60.383,-0.002198463140190457,0
60.197,-0.00028344195608351563,0
59.535,0.001358104263143342,0
57.705,0.0028222106806239937,0
56.684,0.0033483942188388266,0
55.808,0.0036450147246331814,0
55.912,0.0029588831217966117,0
56.242,0.0018292075131770423,0
56.1,0.0012531460609940654,0
57.066,0.00035541411259053826,0
56.001,-0.0001453066799660253,0
56.11,-0.0009647498127645129,0
56.199,-0.0002628486844391382,0
56.014,-0.0006453998127064098,0
57.152,-0.0020415000388297228,0
58.275,-0.0027148885094440815,0
57.638,-0.002832664419682659,0
54.442,-0.003190919177241161,0
55.204,-0.005718604786534469,0
55.293,-0.007765986902917921,0
53.961,-0.010333140952768757,0
53.331,-0.010513159090129183,0
52.215,-0.012139580890346575,0
52.746,-0.015177845142965283,0
54.119,-0.01735387256461405,0
54.091,-0.02136844848274397,0
54.74,-0.02609343466208055,0
56.777,-0.033237672060220644,0
54.93,-0.0339699466058616,0
54.693,-0.03544715378842275,0
54.714,-0.034346370987606956,0
55.141,-0.0351140791975474,0
55.883,-0.03782513938971994,0
56.085,-0.04512605559278859,0
55.916,-0.04831193938025159,0
55.449,-0.053452656482608336,0
53.806,-0.05633829021933361,0
53.05,-0.05806911198125815,0
53.72,-0.06499126115783074,0
55.517,-0.06436147283037859,0
55.736,-0.07311421170922223,0
56.429,-0.07795980416590222,0
54.867,-0.08086262282297636,0
54.681,-0.08020203794100268,0
54.525,-0.07913003599843942,0
53.728,-0.08576899766048046,0
55.902,-0.0925215274443222,0
56.153,-0.08803138665709417,0
56.523,-0.08472264892407008,0
56.765,-0.09591012588324378,0
58.063,-0.10107788352961916,0
57.841,-0.10691931811143118,0
56.107,-0.11176629137288278,0
55.097,-0.09274727668403843,0
54.825,-0.09248114219611948,0
61.106,-0.09260642430576291,0
61.606,-0.08432013544795755,0
58.686,-0.07576183017722357,0
58.001,-0.08197013474734548,0
58.774,-0.08315853534770878,0
58.407,-0.0800182656147411,0
58.618,-0.08782690492466205,0
58.286,-0.09805703709384198,0
56.716,-0.11367433259698809,0
56.636,-0.11795300649921561,0
56.209,-0.1179363794953591,0
55.99,-0.12486417166124389,0
55.984,-0.1433187758278744,0
54.169,-0.16443168598056712,0
53.936,-0.16815511537311326,0
52.399,-0.17929205447509564,0
52.284,-0.17117188561711993,0
52.863,-0.16859751552247426,0
52.561,-0.1772388900012259,0
52.882,-0.17145282778313112,0
52.364,-0.1660816270108319,0
52.036,-0.1618358093010893,0
53.892,-0.15351424727730587,0
54.83,-0.15561562516430874,0
54.826,-0.1350110241070116,0
53.576,-0.11366855322236004,0
53.027,-0.10391685233060205,0
52.907,-0.09535171511387765,0
54.006,-0.09173232905608525,0
53.765,-0.07815315888326958,0
53.644,-0.07723628748495222,0
53.545,-0.06969644789351587,0
54.199,-0.05568612767750419,0
55.738,-0.04430450305593771,0
56.114,-0.030145599683459624,0
56.642,-0.01965256952094963,0
56.708,0.0003069145442607411,0
55.843,0.003104692878729271,0
55.531,0.008357683717319368,0
54.902,0.009661280280598358,0
54.104,0.008588635853659111,0
56.113,0.011584723827657916,0
56.231,0.001087602525309239,0
56.585,-0.0029253357820156257,0
57.105,-0.0075607072746819515,0
56.329,-0.009915688543481497,0
56.952,-0.010986845967653768,0
57.351,-0.008684959654422491,0
57.121,-0.006346509161753735,0
56.637,4.7513760681567964e-05,0
56.677,0.015077699282235967,0
57.441,0.03769089574482311,0
57.031,0.06830785059953579,0
57.874,0.12108764889732611,0
57.809,0.18115396603376363,0
56.961,0.24783795482993543,0
55.298,0.33135161601024843,0
56.906,0.4260119976819794,0
58.266,0.5213634661763569,0
57.851,0.6488639499577358,0
57.957,0.7794923839062301,0
57.874,0.9431509234483016,0
58.204,1.095617600473703,0
57.912,1.2256979943748565,0
58.011,1.386686427783103,0
55.16,1.556255365986164,0
55.749,1.7454888236431585,0
55.994,1.8819027425450874,0
56.338,2.0533470907483196,0
58.34,2.2203153054905616,0
58.247,2.386169043312682,0
59.003,2.506339366575043,0
58.868,2.6135816122321467,0
58.758,2.6639010910106706,1
58.962,2.756960885292439,1
58.799,2.7924104616505177,1
59.397,2.86716356868163,1
59.678,3.095689391232801,1
59.672,3.25786722672071,1
60.024,3.3323306681895697,1
60.457,3.537834127858042,1
60.736,3.813424803369531,1
61.0,4.053326356688794,1
60.273,4.232851347097034,1
60.362,4.418983822785926,1
60.498,4.596970510347188,1
60.924,4.971201469548154,1
61.587,5.276457183063658,1
61.559,5.697260039820307,1
61.604,6.109802496608558,1
61.494,6.449069614928452,1
61.373,6.658323448864586,1
60.986,7.126736905599057,1
62.893,7.332642794206103,1
63.655,7.669940935006444,1
62.749,7.907678266926784,1
64.629,7.93140427424969,1
59.796,8.05623135510242,1
59.418,8.057085489327646,1
59.109,8.16724453664308,1
58.827,8.302456976911314,1
58.091,8.153045757098088,1
58.072,7.9102607341157265,1
58.11,7.657032153269116,1
58.58,7.619461078443404,1
58.719,7.3546584426685495,1
59.207,7.3313391409826085,1
58.693,7.028024471321602,1
58.27,6.55428420368858,1
56.086,6.156278515364319,1
55.626,5.993023104150336,1
54.226,5.5269504194095,1
52.584,5.043938575223963,1
52.944,4.5892647357685945,1
53.744,4.084653012012623,1
53.114,3.7972467023572993,1
52.894,3.467784595368165,1
51.62,3.160387821434512,1
51.073,2.8460088988277574,1
49.979,2.5762165545634286,0
49.686,2.686135951087609,1
51.303,2.9029091774154985,1
51.547,2.7625297680646037,1
50.569,2.412647757102599,0
49.923,2.281143077303763,0
49.952,2.168095548415132,0
50.301,2.1745396824870804,0
51.65,1.9782228060925813,0
51.615,2.024691574496405,0
52.418,2.203972131757595,0
52.322,1.8173503711368288,0
52.198,1.6406666844069802,0
52.366,1.3575723651911134,0
53.746,0.7404875212028891,0
53.485,0.29030109450919983,0
53.337,-0.2852678076373241,0
52.057,-0.7688701969165104,0
51.468,-1.0320593414823382,0
50.185,-1.0137881072007824,0
48.43,-1.2737123756474933,0
46.86,-1.744597826903036,0
45.317,-1.9207890717472504,0
44.627,-1.952965750032081,0
47.919,-1.8816301902538757,0
47.051,-2.1902426238050943,0
47.407,-2.209536703936247,0
46.306,-2.129201260965495,0
41.669,-1.7449645202017317,0
32.741,-1.5364848428564937,0
32.667,-1.1894421620175166,0
34.186,-1.1199011200056543,0
33.461,-1.202121351236777,0
31.433,-1.0085700905853425,0
33.535,-0.7856666754195717,0
30.781,-0.57891449949437,0
29.433,-0.3323293987916885,0
26.903,-0.19822043821507807,0
24.128,-0.07695527114233343,0
26.574,0.05411859517966544,0
23.646,0.18276931487414536,0
21.886,0.3033393206306338,0
24.921,0.3328957552498694,0
25.153,0.3523585603791562,0
25.188,0.24353588765895082,0
24.186,0.38425325498840907,0
23.148,0.48928971493884904,0
21.986,0.9203930437033647,0
22.364,0.8954445288522465,0
22.395,0.6950635801964751,0
22.983,0.8257045874398299,0
26.336,0.8576908120619671,0
30.357,1.1478536697663342,0
28.421,1.1925679256174986,0
29.706,1.3081293236252163,0
28.34,1.2564577634783494,0
30.194,1.3327025983096839,0
27.984,1.4579331861554672,0
28.358,1.381972199082426,0
29.141,1.111382815304739,0
27.708,1.1179807859514221,0
26.415,1.046507910416781,0
26.679,1.146220207264401,0
25.436,1.1321596227514974,0
24.813,1.381597095209148,0
22.086,1.5508048076613647,0
15.361,1.5821763822278307,0
16.081,1.3430872543161576,0
18.823,1.382371325848159,0
18.288,1.2786172530245532,0
18.095,1.2164231142866353,0
14.621,1.089941563654182,0
15.326,0.9316156551420517,0
17.842,0.9085245033026511,0
21.126,0.8107100367902476,0
21.086,0.7358579688534834,0
20.222,0.6480165144711162,0
22.852,0.5691902908015274,0
27.055,0.4994717407540482,0
24.841,0.513630055156509,0
24.783,0.32024499525151984,0
25.798,0.2702981403221617,0
25.633,0.20714209724634106,0
25.206,0.11794165359011992,0
25.729,0.1287917486845488,0
26.034,0.008724174810282467,0
28.043,-0.00579418499764684,0
29.793,-0.08241136519626659,0
30.476,-0.052821057976273435,0
32.698,-0.011417447035852263,0
31.7,0.05187774670742227,0
33.628,0.063871640859889,0
34.064,0.08063358770561078,0
33.64,0.0942553962393239,0
32.954,0.04199018406842607,0
33.988,-0.02514224742381497,0
34.151,-0.07529634301638997,0
31.871,-0.1947990440878992,0
33.65,-0.3018690349403603,0
35.292,-0.3602334004107228,0
35.339,-0.4990795426184405,0
35.584,-0.4568562322924355,0
37.296,-0.4901669068587555,0
37.085,-0.5194131221106724,0
37.348,-0.5571301127368523,0
39.221,-0.6609210320153882,0
40.515,-0.6401678998246487,0
38.738,-0.7455273898561838,0
38.423,-0.7379950190443169,0
38.757,-0.6744272750186909,0
35.812,-0.6972833939486307,0
36.685,-0.7119029733684291,0
35.779,-0.7374147716854174,0
37.392,-0.7113788634512132,0
37.998,-0.7869005361480681,0
37.743,-0.8242285153835475,0
39.388,-0.9070813009470627,0
39.497,-0.9497499786632561,0
39.815,-0.9021620145304199,0
40.935,-0.9846471845316356,0
40.097,-1.0030388754952606,0
37.984,-0.9898541021578788,0
39.006,-1.0192920420256355,0
38.205,-1.089831257720354,0
37.88,-1.1237874184671612,0
39.568,-1.0796114568630635,0
39.593,-1.1185183206492608,0
39.569,-1.0749534808946744,0
40.241,-1.0456571004102408,0
40.311,-0.9422432839829807,0
40.382,-0.8802070895039676,0
40.767,-0.849713850345178,0
40.402,-0.8964941393893031,0
40.951,-0.7960038844119434,0
39.78,-0.7046642990942863,0
40.703,-0.7354561417567964,0
40.249,-0.7387593577306567,0
39.722,-0.7298591568048299,0
40.69,-0.7840849066828874,0
41.151,-0.8104895742190346,0
40.918,-0.836003655099348,0
40.72,-0.7965715187797906,0
40.748,-0.9286495238769067,0
40.795,-1.060377175256883,0
41.598,-1.122390202107066,0
41.697,-1.2186074406864902,0
41.079,-1.2298311859539832,0
41.262,-1.3411749588750823,0
41.106,-1.322954768727507,0
41.762,-1.3802493749735663,0
41.184,-1.4299246963822239,0
41.345,-1.439687360132765,0
40.399,-1.4431049371032734,0
40.538,-1.290700215504787,0
40.298,-1.3020564181059358,0
40.78,-1.2973997333513578,0
