pipeline,dataset,asset,method,accuracy,precision,recall,f1,auc,tp,fp,tn,fn,n_test_total,n_test_crash,n_test_normal,threshold,source_file
CNN autoencoder,US1Y,US Treasury yield 1 year,arctan,0.755,1.0,0.0576923076923076,0.109090909090909,0.5341735966735967,,,,,200,52,148,0.009943057782948,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US1Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
CNN autoencoder,US1Y,US Treasury yield 1 year,arccosh,0.735,0.0,0.0,0.0,0.393970893970894,,,,,200,52,148,0.0299934297800064,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\cnn_autoencoder\US1Y_BOND_COVID200_daily_CNN_AE\cnn_performance.csv
f-AnoGAN standalone,US1Y,US Treasury yield 1 year,exponential,0.82,1.0,0.3076923076923077,0.4705882352941176,0.7379158004158005,,,,,200,52,148,0.2181765705347061,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US1Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1Y,US Treasury yield 1 year,arctan,0.805,1.0,0.25,0.4,0.6965956340956341,,,,,200,52,148,0.0320375621318817,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US1Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1Y,US Treasury yield 1 year,cosine,0.8,1.0,0.2307692307692307,0.375,0.5819906444906445,,,,,200,52,148,0.1103152737021446,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US1Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
f-AnoGAN standalone,US1Y,US Treasury yield 1 year,arccosh,0.755,1.0,0.0576923076923076,0.109090909090909,0.5995322245322247,,,,,200,52,148,0.0642631456255912,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\standalone_fanogan\US1Y_BOND_COVID200_daily\out_put_four_gaf_fanogan\comparison_summary.csv
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,US Treasury yield 1 year,cosine,0.595,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,119.0,81.0,200,81,119,0.1431556016206741,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US1Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,US Treasury yield 1 year,exponential,0.595,0.0,0.0,0.0,0.8543417366946777,0.0,0.0,119.0,81.0,200,81,119,0.1260867588222027,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US1Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,US Treasury yield 1 year,arctan,0.55,0.3448275862068966,0.1234567901234568,0.1818181818181818,0.6519348480132793,10.0,19.0,100.0,71.0,200,81,119,0.08772577084600926,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US1Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
Hybrid TadGAN-GAF-f-AnoGAN,US1Y,US Treasury yield 1 year,arccosh,0.595,0.0,0.0,0.0,0.6678078638862952,0.0,0.0,119.0,81.0,200,81,119,0.07713509798049926,D:\tadgan_gaf\gaf\githup_exchange_ring\output\03_bond_anomaly\bond_3m_1y_5y_10y_20y_compare_e20_daily\hybrid\US1Y_BOND_COVID200_daily\hybrid_four_gaf_report.xlsx
