forecast_step,lstm_forecast_anomaly_score,fanogan_score,threshold,pred_label_user_0crash_1not
0,1.359451174736023,0.03756444901227951,0.0795111171901226,1
1,1.361726999282837,0.03883873298764229,0.0795111171901226,1
2,1.3624353408813477,0.04009464383125305,0.0795111171901226,1
3,1.3620468378067017,0.04461938887834549,0.0795111171901226,1
4,1.3609516620635986,0.04655490815639496,0.0795111171901226,1
5,1.3594136238098145,0.046918950974941254,0.0795111171901226,1
6,1.357588529586792,0.04826901853084564,0.0795111171901226,1
7,1.355558156967163,0.05112563818693161,0.0795111171901226,1
8,1.3533623218536377,0.05162033066153526,0.0795111171901226,1
9,1.3510195016860962,0.04854406788945198,0.0795111171901226,1
10,1.3485395908355713,0.046151500195264816,0.0795111171901226,1
11,1.3459304571151733,0.03891609236598015,0.0795111171901226,1
12,1.343200445175171,0.031439658254384995,0.0795111171901226,1
13,1.3403583765029907,0.022721637040376663,0.0795111171901226,1
14,1.3374143838882446,0.02021367847919464,0.0795111171901226,1
15,1.3343783617019653,0.017247607931494713,0.0795111171901226,1
16,1.3312599658966064,0.014675476588308811,0.0795111171901226,1
17,1.3280686140060425,0.014204874634742737,0.0795111171901226,1
18,1.3248127698898315,0.01509271003305912,0.0795111171901226,1
19,1.321500301361084,0.014941692352294922,0.0795111171901226,1
20,1.318138599395752,0.0155077138915658,0.0795111171901226,1
21,1.314733862876892,0.01479930430650711,0.0795111171901226,1
22,1.3112924098968506,0.011335691437125206,0.0795111171901226,1
23,1.3078193664550781,0.010015699081122875,0.0795111171901226,1
24,1.3043198585510254,0.007868442684412003,0.0795111171901226,1
25,1.3007982969284058,0.0070578898303210735,0.0795111171901226,1
26,1.2972588539123535,0.007577257230877876,0.0795111171901226,1
27,1.2937051057815552,0.008157521486282349,0.0795111171901226,1
28,1.2901406288146973,0.00915752537548542,0.0795111171901226,1
29,1.2865686416625977,0.009701590053737164,0.0795111171901226,1
30,1.282991647720337,0.010110365226864815,0.0795111171901226,1
31,1.2794125080108643,0.006810797844082117,0.0795111171901226,1
32,1.2758336067199707,0.007254476193338633,0.0795111171901226,1
33,1.272256851196289,0.007786666043102741,0.0795111171901226,1
34,1.2686845064163208,0.008305784314870834,0.0795111171901226,1
35,1.2651182413101196,0.008709387853741646,0.0795111171901226,1
36,1.2615596055984497,0.009001726284623146,0.0795111171901226,1
37,1.2580102682113647,0.009242728352546692,0.0795111171901226,1
38,1.2544714212417603,0.009445702657103539,0.0795111171901226,1
39,1.2509443759918213,0.009596937336027622,0.0795111171901226,1
40,1.2474303245544434,0.009738282300531864,0.0795111171901226,1
41,1.2439302206039429,0.009876392781734467,0.0795111171901226,1
42,1.2404448986053467,0.010009902529418468,0.0795111171901226,1
43,1.2369754314422607,0.01012569572776556,0.0795111171901226,1
44,1.2335224151611328,0.01023379061371088,0.0795111171901226,1
45,1.2300864458084106,0.01033153384923935,0.0795111171901226,1
46,1.226668357849121,0.010418049059808254,0.0795111171901226,1
47,1.2232685089111328,0.010494530200958252,0.0795111171901226,1
48,1.219887614250183,0.010562097653746605,0.0795111171901226,1
49,1.2165260314941406,0.010628004558384418,0.0795111171901226,1
50,1.213184118270874,0.010689605958759785,0.0795111171901226,1
51,1.2098623514175415,0.01074931863695383,0.0795111171901226,1
52,1.2065609693527222,0.01080465130507946,0.0795111171901226,1
53,1.2032802104949951,0.010858076624572277,0.0795111171901226,1
54,1.200020432472229,0.01090648677200079,0.0795111171901226,1
55,1.1967817544937134,0.01095298770815134,0.0795111171901226,1
56,1.1935644149780273,0.01099784392863512,0.0795111171901226,1
57,1.19036865234375,0.011035047471523285,0.0795111171901226,1
58,1.1871944665908813,0.011072507128119469,0.0795111171901226,1
59,1.1840420961380005,0.011106987483799458,0.0795111171901226,1
60,1.1809115409851074,0.011138351634144783,0.0795111171901226,1
61,1.1778030395507812,0.011168109253048897,0.0795111171901226,1
62,1.1747163534164429,0.011193392798304558,0.0795111171901226,1
63,1.171651840209961,0.011218790896236897,0.0795111171901226,1
64,1.168609380722046,0.011239909566938877,0.0795111171901226,1
65,1.1655889749526978,0.011262762360274792,0.0795111171901226,1
66,1.1625906229019165,0.011281591840088367,0.0795111171901226,1
67,1.1596144437789917,0.011298952624201775,0.0795111171901226,1
68,1.1566601991653442,0.011315183714032173,0.0795111171901226,1
69,1.1537280082702637,0.011329584755003452,0.0795111171901226,1
70,1.15081787109375,0.011344078928232193,0.0795111171901226,1
71,1.1479296684265137,0.011356281116604805,0.0795111171901226,1
72,1.1450634002685547,0.01136765256524086,0.0795111171901226,1
73,1.142218828201294,0.011379079893231392,0.0795111171901226,1
74,1.139396071434021,0.011390884406864643,0.0795111171901226,1
75,1.1365950107574463,0.011399396695196629,0.0795111171901226,1
76,1.1338155269622803,0.011409038677811623,0.0795111171901226,1
77,1.1310575008392334,0.01141816470772028,0.0795111171901226,1
78,1.1283209323883057,0.011425782926380634,0.0795111171901226,1
79,1.125605821609497,0.011432845145463943,0.0795111171901226,1
80,1.122911810874939,0.011441725306212902,0.0795111171901226,1
81,1.1202389001846313,0.011448048055171967,0.0795111171901226,1
82,1.1175870895385742,0.011454113759100437,0.0795111171901226,1
83,1.1149561405181885,0.011460634879767895,0.0795111171901226,1
84,1.1123460531234741,0.011465005576610565,0.0795111171901226,1
85,1.1097567081451416,0.011471261270344257,0.0795111171901226,1
86,1.1071878671646118,0.011477326974272728,0.0795111171901226,1
87,1.1046395301818848,0.01148318499326706,0.0795111171901226,1
88,1.1021114587783813,0.011486612260341644,0.0795111171901226,1
89,1.0996036529541016,0.01149201299995184,0.0795111171901226,1
90,1.0971161127090454,0.011494659818708897,0.0795111171901226,1
91,1.0946483612060547,0.011499574407935143,0.0795111171901226,1
92,1.0922006368637085,0.011502619832754135,0.0795111171901226,1
93,1.0897725820541382,0.011507416144013405,0.0795111171901226,1
94,1.0873640775680542,0.011510055512189865,0.0795111171901226,1
95,1.084975242614746,0.011512267403304577,0.0795111171901226,1
96,1.0826056003570557,0.011515311896800995,0.0795111171901226,1
97,1.0802552700042725,0.011519435793161392,0.0795111171901226,1
98,1.077924132347107,0.011521619744598866,0.0795111171901226,1
99,1.07561194896698,0.01152322068810463,0.0795111171901226,1
100,1.073318600654602,0.011524142697453499,0.0795111171901226,1
101,1.0710440874099731,0.011527255177497864,0.0795111171901226,1
102,1.0687881708145142,0.011531548574566841,0.0795111171901226,1
103,1.0665507316589355,0.011533739976584911,0.0795111171901226,1
104,1.0643316507339478,0.011535231955349445,0.0795111171901226,1
105,1.0621308088302612,0.011537712067365646,0.0795111171901226,1
106,1.0599480867385864,0.011539585888385773,0.0795111171901226,1
107,1.0577834844589233,0.011541466228663921,0.0795111171901226,1
108,1.0556366443634033,0.01154390536248684,0.0795111171901226,1
109,1.053507685661316,0.011544994078576565,0.0795111171901226,1
