backtest_idx,window_start,fanogan_score,threshold,true_tadgan_is_anomaly,true_label_user_0crash_1not,pred_label_user_0crash_1not
0,798,0.024644745513796806,0.0795111171901226,1,0,1
1,799,0.028541142120957375,0.0795111171901226,1,0,1
2,800,0.03393074497580528,0.0795111171901226,1,0,1
3,801,0.04319711774587631,0.0795111171901226,1,0,1
4,802,0.05114906281232834,0.0795111171901226,1,0,1
5,803,0.04906792566180229,0.0795111171901226,1,0,1
6,804,0.04727332666516304,0.0795111171901226,1,0,1
7,805,0.046834807842969894,0.0795111171901226,1,0,1
8,806,0.04209180921316147,0.0795111171901226,1,0,1
9,807,0.03363154083490372,0.0795111171901226,1,0,1
10,808,0.0395335927605629,0.0795111171901226,1,0,1
11,809,0.04774560406804085,0.0795111171901226,1,0,1
12,810,0.0443706288933754,0.0795111171901226,1,0,1
13,811,0.04528465494513512,0.0795111171901226,1,0,1
14,812,0.03886978328227997,0.0795111171901226,1,0,1
15,813,0.03300689905881882,0.0795111171901226,1,0,1
16,814,0.029205266386270523,0.0795111171901226,1,0,1
17,815,0.02484920620918274,0.0795111171901226,1,0,1
18,816,0.020724887028336525,0.0795111171901226,1,0,1
19,817,0.019342562183737755,0.0795111171901226,1,0,1
20,818,0.01675821840763092,0.0795111171901226,1,0,1
21,819,0.01612410694360733,0.0795111171901226,1,0,1
22,820,0.01609145663678646,0.0795111171901226,1,0,1
23,821,0.01712135598063469,0.0795111171901226,1,0,1
24,822,0.018533261492848396,0.0795111171901226,1,0,1
25,823,0.020292062312364578,0.0795111171901226,1,0,1
26,824,0.02338368259370327,0.0795111171901226,1,0,1
27,825,0.031104736030101776,0.0795111171901226,1,0,1
28,826,0.029523998498916626,0.0795111171901226,1,0,1
29,827,0.026423679664731026,0.0795111171901226,1,0,1
30,828,0.030909612774848938,0.0795111171901226,1,0,1
31,829,0.021888645365834236,0.0795111171901226,1,0,1
32,830,0.018277931958436966,0.0795111171901226,1,0,1
33,831,0.016354519873857498,0.0795111171901226,1,0,1
34,832,0.01403262559324503,0.0795111171901226,1,0,1
35,833,0.013104342855513096,0.0795111171901226,1,0,1
36,834,0.011923662386834621,0.0795111171901226,1,0,1
37,835,0.012293974868953228,0.0795111171901226,1,0,1
38,836,0.012291179038584232,0.0795111171901226,1,0,1
39,837,0.012065818533301353,0.0795111171901226,1,0,1
40,838,0.012210129760205746,0.0795111171901226,1,0,1
41,839,0.011805549263954163,0.0795111171901226,1,0,1
42,840,0.01159894559532404,0.0795111171901226,1,0,1
43,841,0.010961798019707203,0.0795111171901226,1,0,1
44,842,0.009666639380156994,0.0795111171901226,1,0,1
45,843,0.012688209302723408,0.0795111171901226,1,0,1
46,844,0.015382477082312107,0.0795111171901226,1,0,1
47,845,0.015657152980566025,0.0795111171901226,0,1,1
48,846,0.01156616024672985,0.0795111171901226,0,1,1
49,847,0.013286938890814781,0.0795111171901226,0,1,1
50,848,0.016804296523332596,0.0795111171901226,0,1,1
51,849,0.021185889840126038,0.0795111171901226,0,1,1
52,850,0.026067934930324554,0.0795111171901226,0,1,1
53,851,0.028091542422771454,0.0795111171901226,0,1,1
54,852,0.028313666582107544,0.0795111171901226,0,1,1
55,853,0.028271105140447617,0.0795111171901226,0,1,1
56,854,0.02867739275097847,0.0795111171901226,0,1,1
57,855,0.029471972957253456,0.0795111171901226,0,1,1
58,856,0.03402151167392731,0.0795111171901226,0,1,1
59,857,0.03689572587609291,0.0795111171901226,0,1,1
60,858,0.04099727421998978,0.0795111171901226,0,1,1
61,859,0.04512025788426399,0.0795111171901226,0,1,1
62,860,0.038812458515167236,0.0795111171901226,0,1,1
63,861,0.0324929840862751,0.0795111171901226,0,1,1
64,862,0.039806801825761795,0.0795111171901226,0,1,1
65,863,0.047405555844306946,0.0795111171901226,0,1,1
66,864,0.050803836435079575,0.0795111171901226,0,1,1
67,865,0.062483128160238266,0.0795111171901226,0,1,1
68,866,0.06820940971374512,0.0795111171901226,0,1,1
69,867,0.06591564416885376,0.0795111171901226,0,1,1
70,868,0.07121945917606354,0.0795111171901226,0,1,1
71,869,0.07248155772686005,0.0795111171901226,0,1,1
72,870,0.084321528673172,0.0795111171901226,0,1,0
73,871,0.092414990067482,0.0795111171901226,0,1,0
74,872,0.11374721676111221,0.0795111171901226,0,1,0
75,873,0.1254715770483017,0.0795111171901226,0,1,0
76,874,0.10593527555465698,0.0795111171901226,0,1,0
77,875,0.10388797521591187,0.0795111171901226,0,1,0
78,876,0.1035972535610199,0.0795111171901226,0,1,0
79,877,0.035813674330711365,0.0795111171901226,0,1,1
80,878,0.03283989802002907,0.0795111171901226,0,1,1
81,879,0.028126293793320656,0.0795111171901226,0,1,1
82,880,0.03374123573303223,0.0795111171901226,0,1,1
83,881,0.027913739904761314,0.0795111171901226,0,1,1
84,882,0.036085013300180435,0.0795111171901226,0,1,1
85,883,0.02727643959224224,0.0795111171901226,0,1,1
86,884,0.02666855789721012,0.0795111171901226,0,1,1
87,885,0.0462225079536438,0.0795111171901226,0,1,1
88,886,0.06279462575912476,0.0795111171901226,0,1,1
89,887,0.06965893507003784,0.0795111171901226,0,1,1
90,888,0.06877373158931732,0.0795111171901226,0,1,1
91,889,0.06317479908466339,0.0795111171901226,0,1,1
92,890,0.05609581619501114,0.0795111171901226,0,1,1
93,891,0.051461849361658096,0.0795111171901226,0,1,1
94,892,0.04321908578276634,0.0795111171901226,0,1,1
95,893,0.045082613825798035,0.0795111171901226,0,1,1
96,894,0.05351613834500313,0.0795111171901226,0,1,1
97,895,0.06102525815367699,0.0795111171901226,0,1,1
98,896,0.06847124546766281,0.0795111171901226,0,1,1
99,897,0.0816778764128685,0.0795111171901226,0,1,0
100,898,0.08914130926132202,0.0795111171901226,0,1,0
101,899,0.10485269129276276,0.0795111171901226,0,1,0
102,900,0.12664799392223358,0.0795111171901226,0,1,0
103,901,0.08567988872528076,0.0795111171901226,0,1,0
104,902,0.07044544070959091,0.0795111171901226,0,1,1
105,903,0.05007882043719292,0.0795111171901226,0,1,1
106,904,0.054408490657806396,0.0795111171901226,0,1,1
107,905,0.041166141629219055,0.0795111171901226,0,1,1
108,906,0.03312833234667778,0.0795111171901226,0,1,1
109,907,0.025388656184077263,0.0795111171901226,0,1,1
110,908,0.022119393572211266,0.0795111171901226,0,1,1
111,909,0.03041556105017662,0.0795111171901226,0,1,1
112,910,0.030506040900945663,0.0795111171901226,0,1,1
113,911,0.034982021898031235,0.0795111171901226,0,1,1
114,912,0.04008042439818382,0.0795111171901226,0,1,1
115,913,0.02738947980105877,0.0795111171901226,0,1,1
116,914,0.032614026218652725,0.0795111171901226,0,1,1
117,915,0.030652012676000595,0.0795111171901226,0,1,1
118,916,0.03694752976298332,0.0795111171901226,0,1,1
119,917,0.042720355093479156,0.0795111171901226,0,1,1
120,918,0.04167790338397026,0.0795111171901226,0,1,1
121,919,0.03889061510562897,0.0795111171901226,0,1,1
122,920,0.03360816463828087,0.0795111171901226,0,1,1
123,921,0.032666727900505066,0.0795111171901226,0,1,1
124,922,0.03526705503463745,0.0795111171901226,0,1,1
125,923,0.0412052646279335,0.0795111171901226,0,1,1
126,924,0.05067160725593567,0.0795111171901226,0,1,1
127,925,0.05512108653783798,0.0795111171901226,0,1,1
128,926,0.06477750837802887,0.0795111171901226,0,1,1
129,927,0.0720914676785469,0.0795111171901226,0,1,1
130,928,0.08115063607692719,0.0795111171901226,0,1,0
131,929,0.11388035863637924,0.0795111171901226,0,1,0
132,930,0.11867109686136246,0.0795111171901226,0,1,0
133,931,0.12348763644695282,0.0795111171901226,0,1,0
134,932,0.0915619283914566,0.0795111171901226,0,1,0
135,933,0.08423939347267151,0.0795111171901226,0,1,0
136,934,0.09189527481794357,0.0795111171901226,0,1,0
137,935,0.08699240535497665,0.0795111171901226,0,1,0
138,936,0.08054501563310623,0.0795111171901226,0,1,0
139,937,0.06872585415840149,0.0795111171901226,0,1,1
140,938,0.04002825915813446,0.0795111171901226,0,1,1
141,939,0.03897912800312042,0.0795111171901226,0,1,1
142,940,0.03628477454185486,0.0795111171901226,0,1,1
143,941,0.03285922482609749,0.0795111171901226,0,1,1
144,942,0.028202040120959282,0.0795111171901226,0,1,1
145,943,0.028525128960609436,0.0795111171901226,0,1,1
146,944,0.019987354055047035,0.0795111171901226,0,1,1
147,945,0.024383200332522392,0.0795111171901226,0,1,1
148,946,0.02682173252105713,0.0795111171901226,0,1,1
149,947,0.031305063515901566,0.0795111171901226,0,1,1
150,948,0.03441353887319565,0.0795111171901226,0,1,1
151,949,0.034659165889024734,0.0795111171901226,0,1,1
152,950,0.027263635769486427,0.0795111171901226,0,1,1
153,951,0.017608406022191048,0.0795111171901226,0,1,1
154,952,0.008439715020358562,0.0795111171901226,0,1,1
155,953,0.010702142491936684,0.0795111171901226,0,1,1
156,954,0.012433362193405628,0.0795111171901226,0,1,1
157,955,0.014494059607386589,0.0795111171901226,0,1,1
158,956,0.014298749156296253,0.0795111171901226,0,1,1
159,957,0.02065838687121868,0.0795111171901226,0,1,1
160,958,0.02352031134068966,0.0795111171901226,0,1,1
161,959,0.02900087647140026,0.0795111171901226,0,1,1
162,960,0.03711162880063057,0.0795111171901226,0,1,1
163,961,0.039319369941949844,0.0795111171901226,0,1,1
164,962,0.03692048415541649,0.0795111171901226,0,1,1
165,963,0.02775411680340767,0.0795111171901226,0,1,1
166,964,0.024953680112957954,0.0795111171901226,0,1,1
167,965,0.017584558576345444,0.0795111171901226,0,1,1
168,966,0.012559735216200352,0.0795111171901226,0,1,1
169,967,0.01704813353717327,0.0795111171901226,0,1,1
170,968,0.011305870488286018,0.0795111171901226,0,1,1
171,969,0.010102586820721626,0.0795111171901226,0,1,1
172,970,0.011490399949252605,0.0795111171901226,0,1,1
173,971,0.01041430328041315,0.0795111171901226,0,1,1
174,972,0.009822510182857513,0.0795111171901226,0,1,1
175,973,0.01659931056201458,0.0795111171901226,0,1,1
176,974,0.020857293158769608,0.0795111171901226,0,1,1
