forecast_step,lstm_forecast_anomaly_score,fanogan_score,threshold,pred_label_user_0crash_1not
0,-0.0674591064453125,0.006301787681877613,0.02364373579621315,1
1,-0.060547590255737305,0.010378296487033367,0.02364373579621315,1
2,-0.05360382795333862,0.014854314737021923,0.02364373579621315,1
3,-0.04695320129394531,0.012370113283395767,0.02364373579621315,1
4,-0.04096916317939758,0.007908244617283344,0.02364373579621315,1
5,-0.035833537578582764,0.009025376290082932,0.02364373579621315,1
6,-0.03158444166183472,0.010968133807182312,0.02364373579621315,1
7,-0.028159886598587036,0.013133694417774677,0.02364373579621315,1
8,-0.025437921285629272,0.011491047218441963,0.02364373579621315,1
9,-0.02327096462249756,0.01009373925626278,0.02364373579621315,1
10,-0.02151244878768921,0.011273104697465897,0.02364373579621315,1
11,-0.020034104585647583,0.01078047789633274,0.02364373579621315,1
12,-0.018735677003860474,0.01102098822593689,0.02364373579621315,1
13,-0.01754733920097351,0.01034611463546753,0.02364373579621315,1
14,-0.01642698049545288,0.010550901293754578,0.02364373579621315,1
15,-0.015355110168457031,0.014061657711863518,0.02364373579621315,1
16,-0.014328241348266602,0.02027037739753723,0.02364373579621315,1
17,-0.013352006673812866,0.018481042236089706,0.02364373579621315,1
18,-0.012436151504516602,0.015451519750058651,0.02364373579621315,1
19,-0.011590152978897095,0.015913575887680054,0.02364373579621315,1
20,-0.01082068681716919,0.02142162434756756,0.02364373579621315,1
21,-0.010130614042282104,0.0146726593375206,0.02364373579621315,1
22,-0.00951850414276123,0.015800543129444122,0.02364373579621315,1
23,-0.008979588747024536,0.01655494049191475,0.02364373579621315,1
24,-0.008506685495376587,0.016782833263278008,0.02364373579621315,1
25,-0.008091151714324951,0.017220307141542435,0.02364373579621315,1
26,-0.007724076509475708,0.023586008697748184,0.02364373579621315,1
27,-0.00739702582359314,0.015811430290341377,0.02364373579621315,1
28,-0.007102698087692261,0.01378174964338541,0.02364373579621315,1
29,-0.00683516263961792,0.012895768508315086,0.02364373579621315,1
30,-0.006589740514755249,0.006995650939643383,0.02364373579621315,1
31,-0.0063630640506744385,0.009506742469966412,0.02364373579621315,1
32,-0.006152927875518799,0.009713603183627129,0.02364373579621315,1
33,-0.005957841873168945,0.009631440043449402,0.02364373579621315,1
34,-0.005776911973953247,0.009224588051438332,0.02364373579621315,1
35,-0.005609452724456787,0.008621063083410263,0.02364373579621315,1
36,-0.005455046892166138,0.007928776554763317,0.02364373579621315,1
37,-0.00531315803527832,0.007266618777066469,0.02364373579621315,1
38,-0.005183190107345581,0.006693964824080467,0.02364373579621315,1
