backtest_idx,window_start,fanogan_score,threshold,true_tadgan_is_anomaly,true_label_user_0crash_1not,pred_label_user_0crash_1not
0,798,0.013729681260883808,0.07493799850344657,0,1,1
1,799,0.01395257655531168,0.07493799850344657,0,1,1
2,800,0.015431913547217846,0.07493799850344657,0,1,1
3,801,0.01615806110203266,0.07493799850344657,0,1,1
4,802,0.016909107565879822,0.07493799850344657,0,1,1
5,803,0.018105847761034966,0.07493799850344657,0,1,1
6,804,0.017183125019073486,0.07493799850344657,0,1,1
7,805,0.016624238342046738,0.07493799850344657,0,1,1
8,806,0.01678108237683773,0.07493799850344657,0,1,1
9,807,0.01568080484867096,0.07493799850344657,0,1,1
10,808,0.014189128763973713,0.07493799850344657,0,1,1
11,809,0.013223377987742424,0.07493799850344657,0,1,1
12,810,0.011681782081723213,0.07493799850344657,0,1,1
13,811,0.012409181334078312,0.07493799850344657,0,1,1
14,812,0.010842066258192062,0.07493799850344657,0,1,1
15,813,0.010505536571145058,0.07493799850344657,0,1,1
16,814,0.010353872552514076,0.07493799850344657,0,1,1
17,815,0.010378221049904823,0.07493799850344657,0,1,1
18,816,0.009656605310738087,0.07493799850344657,0,1,1
19,817,0.008147070184350014,0.07493799850344657,0,1,1
20,818,0.007572703529149294,0.07493799850344657,0,1,1
21,819,0.007077653426676989,0.07493799850344657,0,1,1
22,820,0.007269003894180059,0.07493799850344657,0,1,1
23,821,0.006994003430008888,0.07493799850344657,0,1,1
24,822,0.006716872099786997,0.07493799850344657,0,1,1
25,823,0.006537269335240126,0.07493799850344657,0,1,1
26,824,0.0061979833990335464,0.07493799850344657,0,1,1
27,825,0.005837847478687763,0.07493799850344657,0,1,1
28,826,0.005226686131209135,0.07493799850344657,0,1,1
29,827,0.005303796846419573,0.07493799850344657,0,1,1
30,828,0.005795914679765701,0.07493799850344657,0,1,1
31,829,0.006283142603933811,0.07493799850344657,0,1,1
32,830,0.0068391733802855015,0.07493799850344657,0,1,1
33,831,0.006944351829588413,0.07493799850344657,0,1,1
34,832,0.007194384001195431,0.07493799850344657,0,1,1
35,833,0.008445938117802143,0.07493799850344657,0,1,1
36,834,0.010129611939191818,0.07493799850344657,0,1,1
37,835,0.011070793494582176,0.07493799850344657,0,1,1
38,836,0.012380708009004593,0.07493799850344657,0,1,1
39,837,0.012802439741790295,0.07493799850344657,0,1,1
40,838,0.012475755997002125,0.07493799850344657,0,1,1
41,839,0.012224793434143066,0.07493799850344657,0,1,1
42,840,0.011501714587211609,0.07493799850344657,0,1,1
43,841,0.010706190951168537,0.07493799850344657,0,1,1
44,842,0.011942020617425442,0.07493799850344657,0,1,1
45,843,0.013206434436142445,0.07493799850344657,0,1,1
46,844,0.012805172242224216,0.07493799850344657,0,1,1
47,845,0.013783213682472706,0.07493799850344657,0,1,1
48,846,0.016274482011795044,0.07493799850344657,0,1,1
49,847,0.014800121076405048,0.07493799850344657,0,1,1
50,848,0.011248333379626274,0.07493799850344657,0,1,1
51,849,0.011563624255359173,0.07493799850344657,0,1,1
52,850,0.012655922211706638,0.07493799850344657,0,1,1
53,851,0.011323143728077412,0.07493799850344657,0,1,1
54,852,0.010591798461973667,0.07493799850344657,0,1,1
55,853,0.00816372875124216,0.07493799850344657,0,1,1
56,854,0.008336625061929226,0.07493799850344657,0,1,1
57,855,0.009851141832768917,0.07493799850344657,0,1,1
58,856,0.00952981412410736,0.07493799850344657,0,1,1
59,857,0.010397622361779213,0.07493799850344657,0,1,1
60,858,0.009560076519846916,0.07493799850344657,0,1,1
61,859,0.013098259456455708,0.07493799850344657,0,1,1
62,860,0.010385057888925076,0.07493799850344657,0,1,1
63,861,0.006947520654648542,0.07493799850344657,0,1,1
64,862,0.00846072006970644,0.07493799850344657,0,1,1
65,863,0.009846838191151619,0.07493799850344657,0,1,1
66,864,0.010929864831268787,0.07493799850344657,0,1,1
67,865,0.011709249578416348,0.07493799850344657,0,1,1
68,866,0.01109100878238678,0.07493799850344657,0,1,1
69,867,0.009723315015435219,0.07493799850344657,0,1,1
70,868,0.009210463613271713,0.07493799850344657,0,1,1
71,869,0.009806537069380283,0.07493799850344657,0,1,1
72,870,0.009187599644064903,0.07493799850344657,0,1,1
73,871,0.01327430922538042,0.07493799850344657,0,1,1
74,872,0.013088379986584187,0.07493799850344657,0,1,1
75,873,0.014940260909497738,0.07493799850344657,0,1,1
76,874,0.012878164649009705,0.07493799850344657,0,1,1
77,875,0.008419080637395382,0.07493799850344657,0,1,1
78,876,0.010126074776053429,0.07493799850344657,0,1,1
79,877,0.013711126521229744,0.07493799850344657,0,1,1
80,878,0.014079269021749496,0.07493799850344657,0,1,1
81,879,0.014983060769736767,0.07493799850344657,0,1,1
82,880,0.013182220049202442,0.07493799850344657,0,1,1
83,881,0.014614895917475224,0.07493799850344657,0,1,1
84,882,0.013403929769992828,0.07493799850344657,0,1,1
85,883,0.013144980184733868,0.07493799850344657,0,1,1
86,884,0.012689719907939434,0.07493799850344657,0,1,1
87,885,0.01478683203458786,0.07493799850344657,0,1,1
88,886,0.014251714572310448,0.07493799850344657,0,1,1
89,887,0.01013184618204832,0.07493799850344657,0,1,1
90,888,0.009997837245464325,0.07493799850344657,0,1,1
91,889,0.010742472484707832,0.07493799850344657,0,1,1
92,890,0.012591462582349777,0.07493799850344657,0,1,1
93,891,0.013470204547047615,0.07493799850344657,0,1,1
94,892,0.01539633423089981,0.07493799850344657,0,1,1
95,893,0.017010105773806572,0.07493799850344657,0,1,1
96,894,0.01906009577214718,0.07493799850344657,0,1,1
97,895,0.0191047303378582,0.07493799850344657,0,1,1
98,896,0.01606706716120243,0.07493799850344657,0,1,1
99,897,0.0138627290725708,0.07493799850344657,0,1,1
100,898,0.0169253908097744,0.07493799850344657,0,1,1
101,899,0.01656748540699482,0.07493799850344657,0,1,1
102,900,0.01742965541779995,0.07493799850344657,0,1,1
103,901,0.015987735241651535,0.07493799850344657,0,1,1
104,902,0.0176643505692482,0.07493799850344657,0,1,1
105,903,0.01585191674530506,0.07493799850344657,0,1,1
106,904,0.008447852917015553,0.07493799850344657,0,1,1
107,905,0.0108662573620677,0.07493799850344657,0,1,1
108,906,0.00777555862441659,0.07493799850344657,0,1,1
