backtest_idx,window_start,fanogan_score,threshold,true_tadgan_is_anomaly,true_label_user_0crash_1not,pred_label_user_0crash_1not
0,1227,0.011494548991322517,0.0275429703295231,0,1,1
1,1228,0.013537672348320484,0.0275429703295231,0,1,1
2,1229,0.025153346359729767,0.0275429703295231,0,1,1
3,1230,0.024308867752552032,0.0275429703295231,0,1,1
4,1231,0.01914634369313717,0.0275429703295231,0,1,1
5,1232,0.02191391959786415,0.0275429703295231,0,1,1
6,1233,0.027856169268488884,0.0275429703295231,0,1,0
7,1234,0.037114717066287994,0.0275429703295231,0,1,0
8,1235,0.04819812998175621,0.0275429703295231,0,1,0
9,1236,0.037664614617824554,0.0275429703295231,0,1,0
10,1237,0.03021223470568657,0.0275429703295231,0,1,0
11,1238,0.029607253149151802,0.0275429703295231,0,1,0
12,1239,0.04122908413410187,0.0275429703295231,0,1,0
13,1240,0.05367617309093475,0.0275429703295231,0,1,0
14,1241,0.051348838955163956,0.0275429703295231,0,1,0
15,1242,0.04160110279917717,0.0275429703295231,0,1,0
16,1243,0.06665832549333572,0.0275429703295231,0,1,0
17,1244,0.055618781596422195,0.0275429703295231,0,1,0
18,1245,0.03874688223004341,0.0275429703295231,0,1,0
19,1246,0.017682543024420738,0.0275429703295231,0,1,1
20,1247,0.016795974224805832,0.0275429703295231,0,1,1
21,1248,0.016872767359018326,0.0275429703295231,0,1,1
22,1249,0.01326743047684431,0.0275429703295231,0,1,1
23,1250,0.01173953153192997,0.0275429703295231,0,1,1
24,1251,0.009386436082422733,0.0275429703295231,0,1,1
25,1252,0.010497597977519035,0.0275429703295231,0,1,1
26,1253,0.008920090273022652,0.0275429703295231,0,1,1
27,1254,0.0053677037358284,0.0275429703295231,0,1,1
28,1255,0.005040973424911499,0.0275429703295231,0,1,1
29,1256,0.005153457634150982,0.0275429703295231,0,1,1
30,1257,0.005336244124919176,0.0275429703295231,0,1,1
31,1258,0.006043223664164543,0.0275429703295231,0,1,1
32,1259,0.006223950535058975,0.0275429703295231,0,1,1
33,1260,0.005999092478305101,0.0275429703295231,0,1,1
34,1261,0.005842635408043861,0.0275429703295231,0,1,1
35,1262,0.004511812701821327,0.0275429703295231,0,1,1
36,1263,0.005281438119709492,0.0275429703295231,0,1,1
37,1264,0.005473819095641375,0.0275429703295231,0,1,1
38,1265,0.006146935746073723,0.0275429703295231,0,1,1
39,1266,0.005271265748888254,0.0275429703295231,0,1,1
40,1267,0.004876875318586826,0.0275429703295231,0,1,1
41,1268,0.004726385697722435,0.0275429703295231,0,1,1
42,1269,0.006507151760160923,0.0275429703295231,0,1,1
43,1270,0.00702296057716012,0.0275429703295231,0,1,1
44,1271,0.0073402561247348785,0.0275429703295231,0,1,1
45,1272,0.008036462590098381,0.0275429703295231,0,1,1
46,1273,0.011300023645162582,0.0275429703295231,0,1,1
47,1274,0.006607692688703537,0.0275429703295231,0,1,1
48,1275,0.007056375499814749,0.0275429703295231,0,1,1
49,1276,0.006741197779774666,0.0275429703295231,0,1,1
50,1277,0.006587926298379898,0.0275429703295231,0,1,1
51,1278,0.006835686042904854,0.0275429703295231,0,1,1
52,1279,0.0076454682275652885,0.0275429703295231,0,1,1
53,1280,0.008066607639193535,0.0275429703295231,0,1,1
54,1281,0.006608116440474987,0.0275429703295231,0,1,1
55,1282,0.006598173640668392,0.0275429703295231,0,1,1
56,1283,0.007794818840920925,0.0275429703295231,0,1,1
57,1284,0.007091799285262823,0.0275429703295231,0,1,1
58,1285,0.0058908527716994286,0.0275429703295231,0,1,1
59,1286,0.004275958985090256,0.0275429703295231,0,1,1
60,1287,0.004464126192033291,0.0275429703295231,0,1,1
61,1288,0.0043076504953205585,0.0275429703295231,0,1,1
62,1289,0.003363072406500578,0.0275429703295231,0,1,1
63,1290,0.0027284868992865086,0.0275429703295231,0,1,1
64,1291,0.0028646746650338173,0.0275429703295231,0,1,1
65,1292,0.002345740795135498,0.0275429703295231,0,1,1
66,1293,0.0025136498734354973,0.0275429703295231,0,1,1
67,1294,0.0016802906757220626,0.0275429703295231,0,1,1
68,1295,0.002027217298746109,0.0275429703295231,0,1,1
69,1296,0.0027376802172511816,0.0275429703295231,0,1,1
70,1297,0.0024768165312707424,0.0275429703295231,0,1,1
71,1298,0.0023000496439635754,0.0275429703295231,0,1,1
72,1299,0.002089426852762699,0.0275429703295231,0,1,1
73,1300,0.0027503015007823706,0.0275429703295231,0,1,1
74,1301,0.0030132876709103584,0.0275429703295231,0,1,1
75,1302,0.0024102909956127405,0.0275429703295231,0,1,1
76,1303,0.0033646579831838608,0.0275429703295231,0,1,1
77,1304,0.0039039039984345436,0.0275429703295231,0,1,1
78,1305,0.0036059245467185974,0.0275429703295231,0,1,1
79,1306,0.004723348189145327,0.0275429703295231,0,1,1
80,1307,0.004928562790155411,0.0275429703295231,0,1,1
81,1308,0.005758390761911869,0.0275429703295231,0,1,1
82,1309,0.004733294248580933,0.0275429703295231,0,1,1
83,1310,0.004310566931962967,0.0275429703295231,0,1,1
84,1311,0.004726462531834841,0.0275429703295231,0,1,1
85,1312,0.004572014324367046,0.0275429703295231,0,1,1
86,1313,0.005302432458847761,0.0275429703295231,0,1,1
87,1314,0.00657285749912262,0.0275429703295231,0,1,1
88,1315,0.007198079489171505,0.0275429703295231,0,1,1
89,1316,0.008885486982762814,0.0275429703295231,0,1,1
90,1317,0.01014616061002016,0.0275429703295231,0,1,1
91,1318,0.010903915390372276,0.0275429703295231,0,1,1
92,1319,0.008128763176500797,0.0275429703295231,0,1,1
93,1320,0.008155624382197857,0.0275429703295231,0,1,1
94,1321,0.006190815009176731,0.0275429703295231,0,1,1
95,1322,0.004373633768409491,0.0275429703295231,0,1,1
96,1323,0.004610804375261068,0.0275429703295231,0,1,1
97,1324,0.004932522773742676,0.0275429703295231,0,1,1
98,1325,0.003931318875402212,0.0275429703295231,0,1,1
99,1326,0.003442386630922556,0.0275429703295231,0,1,1
100,1327,0.003483682172372937,0.0275429703295231,0,1,1
101,1328,0.003585702972486615,0.0275429703295231,0,1,1
102,1329,0.0034351437352597713,0.0275429703295231,0,1,1
103,1330,0.0035281076561659575,0.0275429703295231,0,1,1
104,1331,0.0038685686886310577,0.0275429703295231,0,1,1
105,1332,0.003479316830635071,0.0275429703295231,0,1,1
106,1333,0.00324808806180954,0.0275429703295231,0,1,1
107,1334,0.002931768074631691,0.0275429703295231,0,1,1
108,1335,0.002772691659629345,0.0275429703295231,0,1,1
109,1336,0.002591521944850683,0.0275429703295231,0,1,1
110,1337,0.002808162709698081,0.0275429703295231,0,1,1
111,1338,0.0030593923293054104,0.0275429703295231,0,1,1
112,1339,0.002837008098140359,0.0275429703295231,0,1,1
113,1340,0.0027249581180512905,0.0275429703295231,0,1,1
114,1341,0.001996147446334362,0.0275429703295231,0,1,1
115,1342,0.00197711493819952,0.0275429703295231,0,1,1
116,1343,0.002860870910808444,0.0275429703295231,0,1,1
117,1344,0.0025911820121109486,0.0275429703295231,0,1,1
118,1345,0.003032358828932047,0.0275429703295231,0,1,1
119,1346,0.003791348310187459,0.0275429703295231,0,1,1
120,1347,0.004187766928225756,0.0275429703295231,0,1,1
121,1348,0.004885809496045113,0.0275429703295231,0,1,1
