forecast_step,lstm_forecast_anomaly_score,fanogan_score,threshold,pred_label_user_0crash_1not
0,1.318833589553833,0.11999505758285522,0.15284412801265712,1
1,1.3312253952026367,0.12852586805820465,0.15284412801265712,1
2,1.3389089107513428,0.1460004448890686,0.15284412801265712,1
3,1.3435049057006836,0.14092890918254852,0.15284412801265712,1
4,1.3461616039276123,0.13445620238780975,0.15284412801265712,1
5,1.3475877046585083,0.1266171634197235,0.15284412801265712,1
6,1.348172664642334,0.13516579568386078,0.15284412801265712,1
7,1.3481059074401855,0.1257898062467575,0.15284412801265712,1
8,1.3474637269973755,0.13776691257953644,0.15284412801265712,1
9,1.3462677001953125,0.1378614604473114,0.15284412801265712,1
10,1.3445169925689697,0.14917200803756714,0.15284412801265712,1
11,1.3422049283981323,0.1359940469264984,0.15284412801265712,1
12,1.33932626247406,0.1509014219045639,0.15284412801265712,1
13,1.3358790874481201,0.14559608697891235,0.15284412801265712,1
14,1.3318644762039185,0.1363460272550583,0.15284412801265712,1
15,1.3272855281829834,0.14059868454933167,0.15284412801265712,1
16,1.3221465349197388,0.13959883153438568,0.15284412801265712,1
17,1.3164522647857666,0.13135270774364471,0.15284412801265712,1
18,1.3102072477340698,0.14402735233306885,0.15284412801265712,1
19,1.3034157752990723,0.14499370753765106,0.15284412801265712,1
20,1.2960819005966187,0.14543603360652924,0.15284412801265712,1
21,1.2882087230682373,0.14840616285800934,0.15284412801265712,1
22,1.2797996997833252,0.12165127694606781,0.15284412801265712,1
23,1.270857572555542,0.11364707350730896,0.15284412801265712,1
24,1.261385202407837,0.11134807765483856,0.15284412801265712,1
25,1.2513854503631592,0.10532372444868088,0.15284412801265712,1
26,1.2408612966537476,0.10210348665714264,0.15284412801265712,1
27,1.229816198348999,0.09913085401058197,0.15284412801265712,1
28,1.2182542085647583,0.0887083187699318,0.15284412801265712,1
29,1.2061796188354492,0.0725024938583374,0.15284412801265712,1
30,1.1935979127883911,0.046910014003515244,0.15284412801265712,1
31,1.1805155277252197,0.05840517207980156,0.15284412801265712,1
32,1.1669398546218872,0.05084000527858734,0.15284412801265712,1
