job_name,dataset,scenario,model,method,n_train_normal,n_test_total,n_test_normal,n_test_crash,threshold,accuracy,precision,recall,f1,auc,mean_train_score,mean_test_score
US10Y_BOND_COVID200_daily_CNN_AE,US10Y,COVID-19 market crash,cnn_autoencoder,cosine,897,200,148,52,0.06308553367853165,0.7,0.0,0.0,0.0,0.46972453222453225,0.03026995062828064,0.033593107014894485
US10Y_BOND_COVID200_daily_CNN_AE,US10Y,COVID-19 market crash,cnn_autoencoder,exponential,897,200,148,52,0.08512895554304123,0.68,0.0,0.0,0.0,0.3952702702702703,0.03340492025017738,0.03767567127943039
US10Y_BOND_COVID200_daily_CNN_AE,US10Y,COVID-19 market crash,cnn_autoencoder,arccosh,897,200,148,52,0.029233425855636597,0.625,0.0,0.0,0.0,0.39501039501039503,0.013476358726620674,0.01504978071898222
US10Y_BOND_COVID200_daily_CNN_AE,US10Y,COVID-19 market crash,cnn_autoencoder,arctan,897,200,148,52,0.014682705514132977,0.63,0.0,0.0,0.0,0.32393451143451146,0.005742714274674654,0.006694670766592026
