event,asset,method,n,prevalence,auc,average_precision,quantile,threshold_from,threshold,accuracy,precision,recall,f1,false_alarm_rate,alarm_rate
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.8,test,0.008541,0.30137,0.0,0.0,0.0,0.39726,0.19863
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.85,control,0.023029,0.465753,0.0,0.0,0.0,0.068493,0.034247
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.85,test,0.011424,0.349315,0.0,0.0,0.0,0.30137,0.150685
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.9,control,0.028847,0.479452,0.0,0.0,0.0,0.041096,0.020548
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.9,test,0.017024,0.39726,0.0,0.0,0.0,0.205479,0.10274
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.95,control,0.033712,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.95,test,0.021054,0.445205,0.0,0.0,0.0,0.109589,0.054795
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.975,control,0.035896,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.975,test,0.025068,0.472603,0.0,0.0,0.0,0.054795,0.027397
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.99,control,0.042116,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,cnn_autoencoder,146,0.5,0.361231,0.400858,0.99,test,0.029222,0.486301,0.0,0.0,0.0,0.027397,0.013699
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.7,control,-1.345261,0.780822,0.955556,0.589041,0.728814,0.027397,0.308219
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.7,test,-1.085899,0.773973,0.954545,0.575342,0.717949,0.027397,0.30137
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.75,control,-0.018941,0.760274,0.975,0.534247,0.690265,0.013699,0.273973
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.75,test,1.054598,0.753425,1.0,0.506849,0.672727,0.0,0.253425
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.8,control,2.029581,0.719178,1.0,0.438356,0.609524,0.0,0.219178
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.8,test,2.625663,0.69863,1.0,0.39726,0.568627,0.0,0.19863
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.85,control,4.370696,0.664384,1.0,0.328767,0.494845,0.0,0.164384
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.85,test,5.564048,0.650685,1.0,0.30137,0.463158,0.0,0.150685
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.9,control,8.042985,0.582192,1.0,0.164384,0.282353,0.0,0.082192
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.9,test,7.335095,0.60274,1.0,0.205479,0.340909,0.0,0.10274
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.95,control,18.745757,0.534247,1.0,0.068493,0.128205,0.0,0.034247
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.95,test,12.509233,0.554795,1.0,0.109589,0.197531,0.0,0.054795
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.975,control,24.168897,0.534247,1.0,0.068493,0.128205,0.0,0.034247
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.975,test,30.901635,0.527397,1.0,0.054795,0.103896,0.0,0.027397
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.99,control,25.056254,0.534247,1.0,0.068493,0.128205,0.0,0.034247
COVID-19,USOIL,dagmm,146,0.5,0.883093,0.908735,0.99,test,38.701001,0.513699,1.0,0.027397,0.053333,0.0,0.013699
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.7,control,0.000646,0.445205,0.444444,0.438356,0.441379,0.547945,0.493151
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.7,test,0.001003,0.458904,0.431818,0.260274,0.324786,0.342466,0.30137
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.75,control,0.000749,0.486301,0.484375,0.424658,0.452555,0.452055,0.438356
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.75,test,0.001082,0.465753,0.432432,0.219178,0.290909,0.287671,0.253425
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.8,control,0.000813,0.452055,0.438596,0.342466,0.384615,0.438356,0.390411
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.8,test,0.001173,0.479452,0.448276,0.178082,0.254902,0.219178,0.19863
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.85,control,0.000844,0.445205,0.428571,0.328767,0.372093,0.438356,0.383562
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.85,test,0.001276,0.458904,0.363636,0.109589,0.168421,0.191781,0.150685
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.9,control,0.00096,0.452055,0.428571,0.287671,0.344262,0.383562,0.335616
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.9,test,0.001394,0.479452,0.4,0.082192,0.136364,0.123288,0.10274
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.95,control,0.001067,0.458904,0.421053,0.219178,0.288288,0.30137,0.260274
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.95,test,0.001695,0.458904,0.125,0.013699,0.024691,0.09589,0.054795
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.975,control,0.001212,0.479452,0.444444,0.164384,0.24,0.205479,0.184932
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.975,test,0.001958,0.486301,0.25,0.013699,0.025974,0.041096,0.027397
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.99,control,0.001383,0.479452,0.411765,0.09589,0.155556,0.136986,0.116438
COVID-19,USOIL,deep_svdd,146,0.5,0.462939,0.459607,0.99,test,0.002142,0.486301,0.0,0.0,0.0,0.027397,0.013699
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.7,control,0.17614,0.356164,0.0,0.0,0.0,0.287671,0.143836
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.7,test,0.130298,0.267123,0.113636,0.068493,0.08547,0.534247,0.30137
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.75,control,0.207618,0.431507,0.0,0.0,0.0,0.136986,0.068493
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.75,test,0.142378,0.273973,0.054054,0.027397,0.036364,0.479452,0.253425
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.8,control,0.272424,0.493151,0.0,0.0,0.0,0.013699,0.006849
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.8,test,0.153658,0.30137,0.0,0.0,0.0,0.39726,0.19863
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.85,control,0.33816,0.5,0.0,0.0,0.0,0.0,0.0
COVID-19,USOIL,hybrid2,146,0.5,0.222931,0.355121,0.85,test,0.174864,0.349315,0.0,0.0,0.0,0.30137,0.150685
