maturity_s,u_S(s)_short,u_L(s)_long,spread_S_minus_L,inverted
0.0,1.0,2.0,-1.0,False
0.5,1.4018414095285288,1.5576015661428098,-0.155760156614281,False
0.625,1.4632312578932836,1.4632312578932836,0.0,False
1.0,1.5769797152528469,1.2130613194252668,0.36391839582758,True
1.5,1.60604627931945,0.9447331054820294,0.6613131738374207,True
2.0,1.5450936529200578,0.7357588823428847,0.8093347705771732,True
2.5,1.4325239843009505,0.5730095937203802,0.8595143905805703,True
3.0,1.2941549288608931,0.44626032029685964,0.8478946085640335,True
4.0,1.0014810959509342,0.2706705664732254,0.7308105294777087,True
5.0,0.7387649876150892,0.1641699972477976,0.5745949903672917,True
6.0,0.5277429246993579,0.09957413673572789,0.42816878796363,True
