shock_bps,shock_pct,prob_t1,prob_t2plus
0,0.0,0.8682165033168339,0.8610480302395553
10,0.1,0.888956990104374,0.8610480302395553
20,0.2,0.9072484776432472,0.8610480302395553
30,0.3,0.9232100526857554,0.8610480302395553
40,0.4,0.9369916355360216,0.8610480302395553
50,0.5,0.9487655016656877,0.8610480302395553
60,0.6,0.9587180827185755,0.8610480302395553
70,0.7,0.9670424069647983,0.8610480302395553
80,0.8,0.9739314498524483,0.8610480302395553
90,0.9,0.9795725709474546,0.8610480302395553
100,1.0,0.9841431222694332,0.8610480302395553
110,1.1,0.987807231311167,0.8610480302395553
120,1.2,0.9907136944572202,0.8610480302395553
130,1.3,0.9929948656666958,0.8610480302395553
140,1.4,0.9947663918364442,0.8610480302395553
150,1.5,0.9961276292935968,0.8610480302395553
