stock,excel,n_scores,n_tadgan_anomaly_windows,report,cosine_accuracy,cosine_precision_crash,cosine_recall_crash,cosine_f1_crash,cosine_auc_crash,cosine_tp_crash,cosine_fp_crash,cosine_tn_normal,cosine_fn_crash,cosine_n_samples,cosine_n_crash,cosine_n_normal,cosine_threshold,cosine_future_pred_crash_rate,exponential_accuracy,exponential_precision_crash,exponential_recall_crash,exponential_f1_crash,exponential_auc_crash,exponential_tp_crash,exponential_fp_crash,exponential_tn_normal,exponential_fn_crash,exponential_n_samples,exponential_n_crash,exponential_n_normal,exponential_threshold,exponential_future_pred_crash_rate,arctan_accuracy,arctan_precision_crash,arctan_recall_crash,arctan_f1_crash,arctan_auc_crash,arctan_tp_crash,arctan_fp_crash,arctan_tn_normal,arctan_fn_crash,arctan_n_samples,arctan_n_crash,arctan_n_normal,arctan_threshold,arctan_future_pred_crash_rate,arccosh_accuracy,arccosh_precision_crash,arccosh_recall_crash,arccosh_f1_crash,arccosh_auc_crash,arccosh_tp_crash,arccosh_fp_crash,arccosh_tn_normal,arccosh_fn_crash,arccosh_n_samples,arccosh_n_crash,arccosh_n_normal,arccosh_threshold,arccosh_future_pred_crash_rate,ensemble_accuracy,ensemble_precision_crash,ensemble_recall_crash,ensemble_f1_crash,ensemble_auc_crash,ensemble_tp_crash,ensemble_fp_crash,ensemble_tn_normal,ensemble_fn_crash,ensemble_n_samples,ensemble_n_crash,ensemble_n_normal,ensemble_future_pred_crash_rate,ensemble_threshold
EURUSD_daily,excel\EURUSD_daily_final2.xlsx,2577,94,hybrid_results\EURUSD_daily\hybrid_four_gaf_report.xlsx,0.9018067556952082,0.0,0.0,0.0,,0,125,1148,0,1273,0,1273,0.08160267025232315,0.03,0.9662215239591516,0.0,0.0,0.0,,0,43,1230,0,1273,0,1273,0.03847105801105499,0.025,0.9638648860958366,0.0,0.0,0.0,,0,46,1227,0,1273,0,1273,0.02835652232170105,0.02,0.9575805184603299,0.0,0.0,0.0,,0,54,1219,0,1273,0,1273,0.02364373579621315,0.055,0.9497250589159466,0.0,0.0,0.0,,0,64,1209,0,1273,0,1273,0.04,1.7650139131017277
GOLD_daily,excel\GOLD_daily_final2.xlsx,2485,1,hybrid_results\GOLD_daily\hybrid_four_gaf_report.xlsx,0.9079054604726976,0.0,0.0,0.0,,0,113,1114,0,1227,0,1227,0.07299537956714632,0.13,0.9185004074979625,0.0,0.0,0.0,,0,100,1127,0,1227,0,1227,0.061132718250155454,0.15,0.9185004074979625,0.0,0.0,0.0,,0,100,1127,0,1227,0,1227,0.0275429703295231,0.09,0.9185004074979625,0.0,0.0,0.0,,0,100,1127,0,1227,0,1227,0.04164112247526646,0.11,0.9494702526487367,0.0,0.0,0.0,,0,62,1165,0,1227,0,1227,0.125,1.6941152658236043
USOIL_daily,excel\USOIL_daily_final2.xlsx,2486,124,hybrid_results\USOIL_daily\hybrid_four_gaf_report.xlsx,0.86558516801854,0.0,0.0,0.0,0.11699882766705742,0,106,747,10,863,10,853,0.10046741105616094,0.035,0.9119351100811124,0.10714285714285714,0.9,0.19148936170212766,0.9636576787807737,9,75,778,1,863,10,853,0.07236907407641413,0.005,0.831981460023175,0.0,0.0,0.0,0.19366940211019928,0,135,718,10,863,10,853,0.025711303669959315,0.0,0.8424101969872537,0.0,0.0,0.0,0.20328253223915593,0,126,727,10,863,10,853,0.029118757229298353,0.015,0.9385863267670915,0.0,0.0,0.0,0.6552168815943729,0,43,810,10,863,10,853,0.045,1.5411139747958755
